#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type Cap Room
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 3 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 263 
1 1 1 1 1 1 1 1 1 45 263 
13 5 5 76 43 5 10 1 1 45 3 
14 5 5 76 43 5 11 1 1 45 3 
23 8 8 161 16 2 8 1 1 45 3 
24 8 8 161 16 2 9 1 1 45 3 
25 8 8 161 16 5 4 1 1 45 3 
26 8 8 161 16 5 5 1 1 45 3 
31 10 10 142 14 6 15 17 1 45 263 
32 10 10 142 14 6 16 17 1 45 263 
33 10 10 142 14 6 17 17 1 45 263 
34 10 10 142 14 6 17 17 1 45 253 
75 12 21 156 32 5 8 1 1 45 3 
76 12 21 156 32 5 9 1 1 45 3 
77 12 21 156 32 5 10 1 1 45 2 
78 12 21 156 32 5 11 1 1 45 2 
85 22 24 5 27 4 2 1 1 45 3 
86 22 24 5 27 4 3 1 1 45 3 
87 22 24 5 27 4 4 1 1 45 3 
88 22 24 5 27 4 5 1 1 45 3 
104 27 29 157 32 3 2 1 1 45 3 
105 27 29 157 32 3 3 1 1 45 3 
106 27 29 157 32 4 8 1 1 45 3 
107 27 29 157 32 4 9 1 1 45 3 
114 29 31 157 32 2 8 1 1 45 2 
115 29 31 157 32 2 9 1 1 45 2 
116 29 31 157 32 2 10 1 1 45 3 
117 30 32 155 34 2 10 1 1 45 2 
118 30 32 155 34 2 11 1 1 45 3 
119 30 32 155 34 4 10 1 1 45 3 
120 30 32 155 34 4 11 1 1 45 3 
137 35 37 93 32 6 8 1 1 45 3 
138 35 37 93 32 6 9 1 1 45 3 
139 35 37 93 32 6 10 1 1 45 3 
140 35 37 93 32 6 11 1 1 45 3 
214 49 53 166 8 3 8 1 1 45 3 
215 49 53 166 8 3 9 1 1 45 3 
216 49 53 166 8 3 10 1 1 45 3 
217 49 53 166 8 3 11 1 1 45 3 
242 55 61 142 14 5 15 17 1 45 263 
243 55 61 142 14 5 16 17 1 45 263 
244 55 61 142 14 5 17 17 1 45 263 
245 55 61 142 14 5 17 17 1 45 253 
246 56 62 155 34 3 4 1 1 45 3 
247 56 62 155 34 3 5 1 1 45 3 
248 56 62 155 34 5 4 1 1 45 2 
249 56 62 155 34 5 5 1 1 45 2 
258 59 65 133 34 2 8 1 1 45 2 
259 59 65 133 34 2 9 1 1 45 2 
260 59 65 133 34 4 8 1 1 45 2 
261 59 65 133 34 4 9 1 1 45 2 
266 61 67 180 31 2 10 17 1 45 263 
267 61 67 180 31 2 11 17 1 45 263 
268 61 67 180 31 2 12 17 1 45 263 
269 61 67 180 31 6 4 17 1 45 263 
270 61 67 180 31 6 5 17 1 45 263 
271 61 67 180 31 6 6 17 1 45 263 
294 68 75 88 31 2 2 17 1 45 263 
295 68 75 88 31 2 3 17 1 45 263 
296 68 75 88 31 2 4 17 1 45 263 
297 68 75 88 31 2 5 17 1 45 263 
298 68 75 88 31 2 8 17 1 45 263 
299 68 75 88 31 2 9 17 1 45 263 
300 68 75 88 31 2 10 17 1 45 253 
301 68 75 88 31 2 1 17 1 45 263 
302 68 75 88 31 3 2 17 1 45 263 
303 68 75 88 31 3 3 17 1 45 263 
304 68 75 88 31 3 4 17 1 45 263 
305 68 75 88 31 3 5 17 1 45 263 
306 68 75 88 31 3 1 17 1 45 263 
307 68 75 88 31 4 2 17 1 45 263 
308 68 75 88 31 4 3 17 1 45 263 
309 68 75 88 31 4 4 17 1 45 263 
310 68 75 88 31 4 5 17 1 45 263 
