Sala: 101 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , , , , , 
08:50:00 - 09:40:00 , , , , , , 
10:00:00 - 10:50:00 , , , , , , 
10:50:00 - 11:40:00 , , , , , , 
11:40:00 - 12:30:00 , , , , , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , , , , , 
14:50:00 - 15:40:00 , , , , , , 
16:00:00 - 16:50:00 , , , , , , 
16:50:00 - 17:40:00 , , , , , , 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , , , , 
18:50:00 - 19:35:00 , , , , , , 
19:35:00 - 20:20:00 , , , , , , 
20:30:00 - 21:15:00 , , , , , , 
21:15:00 - 22:00:00 , , , , , , 
Sala: 102 , Prédio: CAA , Segunda,Terca,Quarta,Quinta,Sexta,Sabado,Domingo
07:10:00 - 08:00:00 , , , , , , 
08:00:00 - 08:50:00 , , Química Inorgânica , Cálculo 1c , Produção De Texto Jornalístico I , Imunologia , Fundamentos Filosóficos E Sócio-Hist. Da Educação 
08:50:00 - 09:40:00 , , Química Inorgânica , Cálculo 1c , Produção De Texto Jornalístico I , Imunologia , Fundamentos Filosóficos E Sócio-Hist. Da Educação 
10:00:00 - 10:50:00 , , Introdução À Física Nuclear E De Partículas , Bioquímica Ii , Produção De Texto Jornalístico I , Fundamentos Teórico-Práticos Do Sistema Único De Saúde , Fundamentos Filosóficos E Sócio-Hist. Da Educação 
10:50:00 - 11:40:00 , , Introdução À Física Nuclear E De Partículas , Bioquímica Ii , Produção De Texto Jornalístico I , Fundamentos Teórico-Práticos Do Sistema Único De Saúde , Fundamentos Filosóficos E Sócio-Hist. Da Educação 
11:40:00 - 12:30:00 , , , , Ecofisiologia Vegetal , , 
13:10:00 - 14:00:00 , , , , , , 
14:00:00 - 14:50:00 , , Fundamentos Teórico-Práticos Do Sistema Único De Saúde , Genética , Cálculo 1c , Biossegurança , Ecologia Do Cerrado 
14:50:00 - 15:40:00 , , Fundamentos Teórico-Práticos Do Sistema Único De Saúde , Genética , Cálculo 1c , Biossegurança , Ecologia Do Cerrado 
16:00:00 - 16:50:00 , , Paleobiologia , Genética , Estágio I , Biologia Molecular , Ecologia Do Cerrado 
16:50:00 - 17:40:00 , , Estágio I , Genética , Estágio I , Biologia Molecular , Ecologia Do Cerrado 
17:40:00 - 18:30:00 , , , , , , 
18:05:00 - 18:50:00 , , , Introdução À Arquitetura I , , Introdução À Arquitetura I , 
18:50:00 - 19:35:00 , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosófico E Sócio-Histór. Da Educação , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosófico E Sócio-Histór. Da Educação , História Dos Museus 
19:35:00 - 20:20:00 , , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosófico E Sócio-Histór. Da Educação , Fundamentos Filosóficos E Sócio-Hist. Da Educação , Fundamentos Filosófico E Sócio-Histór. Da Educação , História Dos Museus 
20:30:00 - 21:15:00 , , Bioestatística , Física Aplicada À Biologia , Estágio I , Química Orgânica 1 , História Dos Museus 
21:15:00 - 22:00:00 , , Bioestatística , Física Aplicada À Biologia , Estágio I , Química Orgânica 1 , História Dos Museus 
