#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type	Room
1	1	1	81	33	3	8	4	1	125
2	1	1	81	33	3	9	4	1	125
3	1	1	81	33	3	10	4	1	125
4	1	1	81	33	3	11	4	1	125
9	3	3	53	25	5	2	5	1	99
10	3	3	53	25	5	3	5	1	99
13	5	5	76	43	5	10	1	1	27
14	5	5	76	43	5	11	1	1	27
15	6	6	178	18	4	2	4	1	51
16	6	6	178	18	4	3	4	1	51
17	6	6	178	18	4	4	4	1	51
18	6	6	178	18	4	5	4	1	51
23	8	8	161	16	2	8	1	1	51
24	8	8	161	16	2	9	1	1	51
25	8	8	161	16	5	4	1	1	51
26	8	8	161	16	5	5	1	1	51
27	9	9	60	40	3	4	2	1	50
28	9	9	60	40	3	5	2	1	50
29	9	9	60	40	5	4	2	1	50
30	9	9	60	40	5	5	2	1	50
31	10	10	142	14	6	15	17	1	
32	10	10	142	14	6	16	17	1	
33	10	10	142	14	6	17	17	1	
34	10	10	142	14	6	17	17	1	
35	11	11	169	11	3	3	5	3	65
36	11	11	169	11	3	4	5	3	65
39	12	13	156	32	6	8	5	1	85
40	12	13	156	32	6	9	5	1	85
41	12	13	156	32	6	10	5	1	85
42	12	13	156	32	6	11	5	1	85
43	13	14	43	27	5	2	4	1	122
44	13	14	43	27	5	3	4	1	122
45	13	14	43	27	5	4	4	1	122
46	13	14	43	27	5	5	4	1	122
49	15	16	79	40	3	14	2	2	34
50	15	16	79	40	3	15	2	2	34
51	15	16	79	40	3	16	2	1	1
52	15	16	79	40	3	17	2	1	1
57	17	18	178	18	6	2	4	1	6
58	17	18	178	18	6	3	4	1	6
59	17	18	178	18	6	4	4	1	6
60	17	18	178	18	6	5	4	1	6
75	12	21	156	32	5	8	1	1	7
76	12	21	156	32	5	9	1	1	7
77	12	21	156	32	5	10	1	1	7
78	12	21	156	32	5	11	1	1	7
79	20	22	8	8	5	4	2	1	41
80	20	22	8	8	5	5	2	1	41
81	21	23	13	38	4	8	2	1	43
82	21	23	13	38	4	9	2	1	43
83	21	23	13	38	6	8	2	1	43
84	21	23	13	38	6	9	2	1	43
85	22	24	5	27	4	2	1	1	54
86	22	24	5	27	4	3	1	1	54
87	22	24	5	27	4	4	1	1	54
88	22	24	5	27	4	5	1	1	54
96	25	27	78	21	5	14	5	1	95
97	25	27	78	21	5	15	5	1	95
98	25	27	78	21	5	16	5	1	95
99	25	27	78	21	5	17	5	1	95
100	26	28	156	32	2	2	2	1	53
101	26	28	156	32	2	3	2	1	53
102	26	28	156	32	2	4	2	1	53
103	26	28	156	32	2	5	2	1	53
104	27	29	157	32	3	2	1	1	18
105	27	29	157	32	3	3	1	1	18
106	27	29	157	32	4	8	1	1	18
107	27	29	157	32	4	9	1	1	18
114	29	31	157	32	2	8	1	1	9
115	29	31	157	32	2	9	1	1	9
116	29	31	157	32	2	10	1	1	9
117	30	32	155	34	2	10	1	1	13
118	30	32	155	34	2	11	1	1	13
119	30	32	155	34	4	10	1	1	13
120	30	32	155	34	4	11	1	1	13
121	31	33	35	33	3	8	4	1	0
122	31	33	35	33	3	9	4	1	0
123	31	33	35	33	3	10	4	1	0
124	31	33	35	33	3	11	4	1	0
125	32	34	81	33	4	8	4	1	109
