#ID	Group	Solicit	Course	Entity	Day	Hour	Bld	Type Cap
1 1 1 81 33 3 8 4 1 45
2 1 1 81 33 3 9 4 1 45
3 1 1 81 33 3 10 4 1 45
4 1 1 81 33 3 11 4 1 45
9 3 3 53 25 5 2 5 1 45
10 3 3 53 25 5 3 5 1 45
13 5 5 76 43 5 10 1 1 45
14 5 5 76 43 5 11 1 1 45
15 6 6 178 18 4 2 4 1 45
16 6 6 178 18 4 3 4 1 45
17 6 6 178 18 4 4 4 1 45
18 6 6 178 18 4 5 4 1 45
23 8 8 161 16 2 8 1 1 45
24 8 8 161 16 2 9 1 1 45
25 8 8 161 16 5 4 1 1 45
26 8 8 161 16 5 5 1 1 45
27 9 9 60 40 3 4 2 1 45
28 9 9 60 40 3 5 2 1 45
29 9 9 60 40 5 4 2 1 45
30 9 9 60 40 5 5 2 1 45
31 10 10 142 14 6 15 17 1 45
32 10 10 142 14 6 16 17 1 45
33 10 10 142 14 6 17 17 1 45
34 10 10 142 14 6 17 17 1 45
35 11 11 169 11 3 3 5 3 45
36 11 11 169 11 3 4 5 3 45
39 12 13 156 32 6 8 5 1 45
40 12 13 156 32 6 9 5 1 45
41 12 13 156 32 6 10 5 1 45
42 12 13 156 32 6 11 5 1 45
43 13 14 43 27 5 2 4 1 45
44 13 14 43 27 5 3 4 1 45
45 13 14 43 27 5 4 4 1 45
46 13 14 43 27 5 5 4 1 45
49 15 16 79 40 3 14 2 2 45
50 15 16 79 40 3 15 2 2 45
51 15 16 79 40 3 16 2 1 45
52 15 16 79 40 3 17 2 1 45
57 17 18 178 18 6 2 4 1 45
58 17 18 178 18 6 3 4 1 45
59 17 18 178 18 6 4 4 1 45
60 17 18 178 18 6 5 4 1 45
75 12 21 156 32 5 8 1 1 45
76 12 21 156 32 5 9 1 1 45
77 12 21 156 32 5 10 1 1 45
78 12 21 156 32 5 11 1 1 45
79 20 22 8 8 5 4 2 1 45
80 20 22 8 8 5 5 2 1 45
81 21 23 13 38 4 8 2 1 45
82 21 23 13 38 4 9 2 1 45
83 21 23 13 38 6 8 2 1 45
84 21 23 13 38 6 9 2 1 45
85 22 24 5 27 4 2 1 1 45
86 22 24 5 27 4 3 1 1 45
87 22 24 5 27 4 4 1 1 45
88 22 24 5 27 4 5 1 1 45
96 25 27 78 21 5 14 5 1 45
97 25 27 78 21 5 15 5 1 45
98 25 27 78 21 5 16 5 1 45
99 25 27 78 21 5 17 5 1 45
100 26 28 156 32 2 2 2 1 45
101 26 28 156 32 2 3 2 1 45
102 26 28 156 32 2 4 2 1 45
103 26 28 156 32 2 5 2 1 45
104 27 29 157 32 3 2 1 1 45
105 27 29 157 32 3 3 1 1 45
106 27 29 157 32 4 8 1 1 45
107 27 29 157 32 4 9 1 1 45
114 29 31 157 32 2 8 1 1 45
115 29 31 157 32 2 9 1 1 45
116 29 31 157 32 2 10 1 1 45
117 30 32 155 34 2 10 1 1 45
118 30 32 155 34 2 11 1 1 45
119 30 32 155 34 4 10 1 1 45
120 30 32 155 34 4 11 1 1 45
121 31 33 35 33 3 8 4 1 45
122 31 33 35 33 3 9 4 1 45
123 31 33 35 33 3 10 4 1 45
124 31 33 35 33 3 11 4 1 45
125 32 34 81 33 4 8 4 1 45
126 32 34 81 33 4 9 4 1 45
127 32 34 81 33 4 10 4 1 45
128 32 34 81 33 4 11 4 1 45
129 33 35 95 27 5 2 1 2 45
130 33 35 95 27 5 3 1 2 45
131 33 35 95 27 5 4 1 2 45
132 33 35 95 27 5 5 1 2 45
133 34 36 12 13 3 8 2 1 45
134 34 36 12 13 3 9 2 1 45
135 34 36 12 13 3 10 2 1 45
136 34 36 12 13 3 11 2 1 45
137 35 37 93 32 6 8 1 1 45
138 35 37 93 32 6 9 1 1 45
139 35 37 93 32 6 10 1 1 45
140 35 37 93 32 6 11 1 1 45
141 36 38 60 40 3 2 2 1 45
142 36 38 60 40 3 3 2 1 45
143 36 38 60 40 5 2 2 1 45
144 36 38 60 40 5 3 2 1 45
145 37 39 178 18 2 2 4 1 45
146 37 39 178 18 2 3 4 1 45
147 37 39 178 18 2 4 4 1 45
148 37 39 178 18 2 5 4 1 45
149 37 39 178 18 2 6 4 1 45
150 37 39 178 18 2 1 4 1 45
155 39 41 79 40 4 14 2 1 45
156 39 41 79 40 4 15 2 1 45
157 39 41 79 40 4 16 15 2 45
158 39 41 79 40 4 17 15 2 45
159 39 41 79 40 6 14 15 2 45
160 39 41 79 40 6 15 15 2 45
161 39 41 79 40 6 16 2 1 45
162 39 41 79 40 6 17 2 1 45
163 40 42 167 29 3 4 5 1 45
