#ID	Group	Course	Name
1	1	81	Natureza E Sociedade - 0070d23b06b1486a538c0eaa45dd167a
3	3	53	Bromatologia - 01386bd6d8e091c2ab4c7c7de644d37b
5	5	76	Gerenciamento E Controle Ambiental - 013d407166ec4fa56eb1e1f8cbe183b9
6	6	178	Tópicos De Antropologia I - 01882513d5fa7c329e940dda99b12147
8	8	161	Introdução A Genética - 01894d6f048493d2cacde3c579c315a3
9	9	60	Matemática Discreta - 0189caa552598b845b29b17a427692d1
10	10	142	Educação Especial E Inclusão - 018b59ce1fd616d874afad0f44ba338d
11	11	169	Desenho Técnico - 01a0683665f38d8e5e567b3b15ca98bf
13	12	156	Biofísica - 01e00f2f4bfcbb7505cb641066f2859b
14	13	43	Cultura Brasileira - 01e9565cecc4e989123f9620c1d09c09
16	15	79	Manutenção De Software - 0233f3bb964cf325a30f8b1c2ed2da93
18	17	178	Antropologia 3 - 024d7f84fff11dd7e8d9c510137a2381
21	12	156	Métodos Analíticos Em Biomedicina - 02f039058bd48307e6f653a2005c9dd2
22	20	8	Química Geral - 02f657d55eaf1c4840ce8d66fcdaf90c
23	21	13	Geometria Analítica - 03255088ed63354a54e0e5ed957e9008
24	22	5	Direitos Humanos E Cidadania - 03e0704b5690a2dee1861dc3ad3316c9
27	25	78	Políticas Educacionais E Fracasso Escolar - 04048aeca2c0f5d84639358008ed2ae7
28	26	156	Genética - 046ddf96c233a273fd390c3d0b1a9aa4
29	27	157	Zoologia Iii - 052335232b11864986bb2fa20fa38748
31	29	157	Biogeografia - 0533a888904bd4867929dffd884d60b8
32	30	155	Políticas Educacionais No Brasil - 0537fb40a68c18da59a35c2bfe1ca554
33	31	35	Tópicos Em Geografia Humana - 05546b0e38ab9175cd905eebcc6ebb76
34	32	81	Geoprocessamento Ii - 056ebf1440514c76ffb9ff542386fbdf
35	33	95	Representação Descritiva Iii - 059fdcd96baeb75112f09fa1dcc740cc
36	34	12	Métodos Dinâmicos Aplicados À Macroeconomia - 05a70454516ecd9194c293b0e415777f
37	35	93	Introdução À Biologia Marinha - 05b9aaa377832cb02850a94d55fb2015
38	36	60	Introdução À Computabilidade E À Complexidade Computacional - 05e853c7be992d9ba7189b00b97f855b
39	37	178	Estágio Supervisionado I:Educação Não-Formal - 061412e4a03c02f9902576ec55ebbe77
41	39	79	Introdução À Programação - 063e26c670d07bb7c4d30e6fc69fe056
42	40	167	Saúde Do Adulto E Do Idoso - Sistema Urinário - 0663a4ddceacb40b095eda264a85f15c
43	41	40	Introdução À Administração Pública - 069654d5ce089c13f642d19f09a3d1c0
44	42	19	Linguagem E Matemática - 06997f04a7db92466a2baa6ebc8b872d
45	43	41	Fundamentos Da Microeconomia - 06a81a4fb98d149f2d31c68828fa6eb2
46	44	177	Genética E Evolução - 06c284d3f757b15c02f47f3ff06dc275
47	34	12	Tópicos Especiais Em Teoria Econômica - 06d5ae105ea1bea4d800bc96491876e9
48	45	83	Projeto 7 - 07042ac7d03d3b9911a00da43ce0079a
49	43	41	Instituições Do Direito Público E Privado - 072b030ba126b2f4b2374f342be9ed44
51	47	18	Geografia E Sociedade - 074177d3eb6371e32c16c55a3b8f706b
52	48	8	Ciências Dos Materiais - 0747b9be4f90056c30eb5241f06bfe9b
53	49	166	Metabolismo Celular - 076023edc9187cf1ac1f1163470e479a
54	22	5	Ética E Legislação Em Rp E Comunicação - 0768281a05da9f27df178b5c39a51263
55	50	103	Cultura De Célula Vegetal - 0771fc6f0f4b1d7d1bb73bbbe14e0e31
57	17	178	Sociologia 3 - 07871915a8107172b3b5dc15a6574ad3
58	52	41	Direito Empresarial - 07a96b1f61097ccb54be14d6a47439b0
61	55	142	Educação Popular E Movimentos Sociais - 0829424ffa0d3a2547b6c9622c77de03
62	56	155	Didática Para O Ensino De Física - 08d98638c6fcd194a4b1e6992063e944
63	57	5	Fotografia - 08fe2621d8e716b02ec0da35256a998d
64	58	41	Direito Trabalhista E Previdenciário - 093f65e080a295f8076b1c5722a46aa2
65	59	133	Física I - 0950ca92a4dcf426067cfd2246bb5ff3
67	61	180	Tutorial Em Saúde Iii - 09a5e2a11bea20817477e0b1dfe2cc21
69	63	179	Trabalho Final De Curso 2 - 09c6c3783b4a70054da74f2538ed47c6
71	17	178	Métodos E Técnicas De Pesquisa Social 2 - 0a113ef6b61820daa5611c870ed8d5ee
72	65	167	Saúde Do Adulto E Do Idoso - Sistema Locomotor, Cirurgia Plástica E Geriatria/Cuidados Paliativos - 0a1bf96b7165e962e90cb14648c9462d
73	66	48	Metodologia De Pesquisa Científica - 0a65e195cb51418279b6fa8d96847a60
74	67	91	Introdução À Língua Brasileira De Sinais - Libras - 0a87257e5308197df43230edf4ad1dae
75	68	88	Processo De Cuidar Em Saúde Da Criança E Do Adolescente Ii - 0abdc563a06105aee3c6136871c9f4d1
76	69	79	Governança De Ti - 0ae2534d3b59dd939d034272ed73e891
77	70	158	Biologia Molecular - 0ae3f79a30234b6c45a6f7d298ba1310
78	71	81	Solos E Meio Ambiente - 0b1ec366924b26fc98fa7b71a9c249cf
79	72	180	Tutorial Em Saúde Ii - 0b7e926154c1274e8b602ff0d7c133d7
80	73	182	Introdução Ao Estudo De Políticas Públicas - 0bed45bd5774ffddc95ffe500024f628
81	74	74	Construção De Software - 0bf727e907c5fc9d5356f11e4c45d613
82	75	4	Jornalismo Especializado - 0c048b3a434e49e655c1247efb389cec
84	77	58	Sociologia 1 - 0c215f194276000be6a6df6528067151
85	28	88	Saúde Coletiva I - 0c8ce55163055c4da50a81e0a273468c
87	79	155	Prática De Ensino Iii - 0cb929eae7a499e50248a3a78f7acfc7
88	80	103	Farmacologia - 0d4f4805c36dc6853edfa4c7e1638b48
89	81	77	Introdução À Análise De Risco - 0d7363894acdee742caf7fe4e97c4d49
90	82	93	Introdução À Bioestatística - 0d73a25092e5c1c9769a9f3255caa65a
91	83	60	Introdução À Programação - 0d7de1aca9299fe63f3e0041f02638a3
92	80	103	Biotecnologia Aplicada À Patologia - 0dd205a72e3b2324deaadc7ee69bed98
93	84	156	Epidemiologia - 0deb1c54814305ca9ad266f53bc82511
95	86	119	Laboratório De Audiovisual - 0e3a37aa85a14e359df74fa77eded3f6
96	8	161	Química Geral Teórica - 0e4a2c65bdaddd66a53422d93daebe68
98	65	167	Saúde Do Adulto E Do Idoso - Sistema Urinário - 0e55666a4ad822e0e34299df3591d979
99	55	142	Estágio De Docência Em Ciências Da Natureza No Ensino Médio Ou Eja Iii - 0e9fa1f3e9e66792401a6972d477dcc3
100	88	41	Contabilidade Introdutória I - 0ebcc77dc72360d0eb8e9504c78d38bd
102	13	43	Introdução À Publicidade E Propaganda - 0eec27c419d0fe24e53c90338cdc8bc6
103	90	156	Diagnóstico Molecular - 0efbe98067c6c73dba1250d2beaa81f9
107	93	18	Geomorfologia I - 0f46c64b74a6c964c674853a89796c8e
108	94	154	Cálculo 3a - 0f840be9b8db4d3fbd5ba2ce59211f55
110	96	103	Bases Da Biotecnologia - 0ff39bbbf981ac0151d340c9aa40e63e
111	97	19	Didática Da Matemática I - 102f0bb6efb3a6128a3c750dd16729be
112	98	161	Economia - 10907813b97e249163587e6246612e21
113	99	155	Introdução À Física - 109a0ca3bc27f3e96597370d5c8cf03d
115	30	155	Física Matemática I - 10a5ab2db37feedfdeaab192ead4ac0e
116	26	156	Biossegurança - 10c272d06794d3e5785d5e7c5356e9ff
117	101	79	Linguagens E Paradigmas De Programação - 10c66082c124f8afe3df4886f5e516e0
118	102	40	Fundamentos Da Microeconomia - 1102a326d5f7c9e04fc3c89d0ede88c9
119	103	95	Políticas Públicas Na Área Social, Cultural E Educacional - 1113d7a76ffceca1bb350bfe145467c6
121	104	4	Psicologia - 1141938ba2c2b13f5505d7c424ebae5f
122	34	12	Economia Social - 1145a30ff80745b56fb0cecf65305017
123	105	29	Fundamentos Da Educação No Cinema - 1175defd049d3301e047ce50d93e9c7a
124	106	18	Geografia De Goiás - 1177967c7957072da3dc1db4ceb30e7a
125	107	53	Imunologia - 119322195f63d5945389a6175be50d41
127	109	41	Contabilidade Governamental Ii - 11d0e6287202fced83f79975ec59a3a6
128	110	79	Lógica Matemática - 11d70f78933c358aa1018f5aa66dfc7c
129	111	79	Arquitetura De Computadores - 1207770fa114ba031dd46dd42e386dd1
131	113	177	Imunologia Veterinária - 12a72a2bb8b6240f77553eccba49d4fb
132	114	68	Hidrogeologia - 12b1e42dc0746f22cf361267de07073f
133	115	77	Álgebra Linear - 12ffb0968f2f56e51a59a6beb37b2859
134	116	18	Estágio Supervisionado Em Geografia Iii - 130f1a8e9e102707f3f91b010f151b0b
135	117	93	Ciência Do Solo - 1368ba1ab6ed38bb1f26f36673739d54
136	118	167	Método Clínico I - 136f951362dab62e64eb8e841183c2a9
138	120	87	Físico-Química 1 - 1385974ed5904a438616ff7bdb3f7439
139	121	53	Farmácia Hospitalar - 138bb0696595b338afbab333c555292a
140	122	167	Método Clínico Iii - 139f0874f2ded2e41b0393c4ac5644f7
141	3	53	Assistência Farmacêutica Em Serviços De Saúde - 13f9896df61279c928f19721878fac41
142	123	154	Mecânica Quântica I - 1415db70fe9ddb119e23e9b2808cde38
145	77	58	Sociologia 1 - 148260a1ce4fe4907df4cd475c442e28
146	109	41	Contabilidade De Custos - 148510031349642de5ca0c544f31b2ef
147	126	13	Introdução À Teoria Dos Números - 149815eb972b3c370dee3b89d645ae14
148	127	81	Recursos Físicos Da Terra - 14a44c73f4f83557fd871d27d93c1bc9
149	28	88	Saúde Coletiva I - 14c2fdfbb41b3a776fd6a2a1e835165f
151	129	103	Biologia Celular - 14e942a6fa8e8f789b093840477a4707
152	130	7	Fisiologia Humana - 14ea0d5b0cf49525d1866cb1e95ada5d
153	131	12	Formação Econômica Do Brasil - 15231a7ce4ba789d13b722cc5c955834
154	132	157	Mutagênese Ambiental - 155fa09596c7e18e50b58eb7e0c6ccb4
